Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
horse,morgan,11,female,520.0,lameness,swollen joints,reduced appetite,weight loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,39.7,77,laminitis
cow,limousin,2,male,550.0,diarrhea,lethargy,appetite loss,dehydration,4 days,Yes,No,No,Yes,Yes,No,Yes,No,No,39.5,85,cryptosporidiosis
dog,border collie,3,female,17.0,coughing,labored breathing,fever,nasal discharge,8 days,Yes,No,No,Yes,No,Yes,No,Yes,Yes,39.4,129,bordetella infection
cat,devon rex,6,male,4.2,vomiting,appetite loss,lethargy,weight loss,9 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.9,146,inflammatory bowel disease
horse,standardbred,7,male,540.0,lameness,swollen joints,lethargy,weight loss,6 days,No,No,No,Yes,No,Yes,Yes,No,No,39.6,76,degenerative joint disease
cow,red angus,5,female,620.0,fever,diarrhea,lethargy,appetite loss,4 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,39.8,83,bovine leukemia virus
dog,chihuahua,3,male,2.5,sneezing,eye discharge,labored breathing,lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.5,131,allergic rhinitis
cat,sphynx,5,female,3.0,vomiting,appetite loss,diarrhea,weight loss,6 days,Yes,Yes,No,No,Yes,No,Yes,No,No,38.7,143,gastroenteritis
horse,shire,10,female,680.0,lethargy,fever,appetite loss,weight loss,10 days,No,No,Yes,Yes,No,Yes,No,No,No,39.9,74,equine leptospirosis
cow,guernsey,4,male,590.0,appetite loss,lethargy,diarrhea,dehydration,5 days,Yes,No,No,Yes,No,No,Yes,No,No,39.3,84,bovine coccidiosis
dog,dachshund,7,female,8.0,vomiting,diarrhea,weight loss,appetite loss,3 days,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,39.2,120,gastroenteritis
cat,maine coon,9,male,6.5,lethargy,appetite loss,weight loss,dehydration,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,39.0,140,feline renal disease
horse,thoroughbred,14,male,520.0,coughing,labored breathing,fever,weight loss,12 days,No,Yes,Yes,No,Yes,No,No,Yes,No,39.7,72,equine influenza
cow,jersey,6,female,600.0,fever,nasal discharge,decreased milk yield,lethargy,5 days,Yes,No,No,Yes,No,Yes,No,No,No,39.4,86,bovine respiratory syncytial virus
dog,labrador retriever,11,male,35.0,lethargy,loss of appetite,fever,vomiting,7 days,Yes,No,No,Yes,No,Yes,No,Yes,No,39.3,118,canine distemper
cat,persian,8,female,5.0,coughing,nasal discharge,eye discharge,loss of appetite,4 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.9,147,feline viral rhinotracheitis
dog,german shepherd,6,female,30.0,coughing,labored breathing,lethargy,loss of appetite,6 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.4,125,kennel cough
cat,scottish fold,4,male,4.8,sneezing,eye discharge,appetite loss,lethargy,5 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.7,137,feline herpesvirus
horse,appaloosa,10,female,510.0,lameness,fever,swollen joints,reduced appetite,9 days,No,No,Yes,Yes,No,Yes,No,No,No,39.8,74,equine laminitis
cow,holstein,7,male,590.0,coughing,nasal discharge,labored breathing,lethargy,4 days,No,No,No,Yes,Yes,No,Yes,No,No,39.9,80,bovine pneumonia
dog,beagle,5,male,10.0,vomiting,diarrhea,loss of appetite,fever,3 days,Yes,Yes,No,No,No,Yes,No,Yes,No,39.2,132,gastroenteritis
cat,bengal,3,female,4.2,lethargy,vomiting,diarrhea,dehydration,6 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.1,145,feline panleukopenia
horse,arabian,13,male,490.0,fever,nasal discharge,labored breathing,lethargy,8 days,No,No,No,Yes,Yes,No,No,Yes,No,39.6,78,equine influenza
cow,simmental,8,female,630.0,loss of appetite,weight loss,lethargy,reduced milk production,7 days,No,Yes,No,No,Yes,Yes,Yes,No,No,39.5,83,johne's disease
dog,rottweiler,7,female,35.0,vomiting,diarrhea,loss of appetite,dehydration,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0,127,parvovirus
cat,siberian,2,male,5.5,coughing,sneezing,nasal discharge,eye discharge,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,38.6,144,feline calicivirus
horse,american quarter,14,female,520.0,swollen joints,lameness,fever,loss of appetite,10 days,No,No,Yes,Yes,Yes,No,No,No,No,39.7,75,equine arthritis
cow,shorthorn,5,male,600.0,diarrhea,dehydration,lethargy,loss of appetite,5 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.4,84,salmonellosis
dog,shih tzu,4,female,7.0,coughing,labored breathing,appetite loss,lethargy,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.3,133,canine flu
cat,american curl,5,male,3.7,vomiting,diarrhea,dehydration,weight loss,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,38.8,148,pancreatitis
horse,percheron,12,male,600.0,swollen joints,lameness,appetite loss,weight loss,5 days,No,No,No,Yes,Yes,No,No,Yes,No,39.9,72,equine infectious anemia
cow,brahman,3,female,570.0,fever,nasal discharge,lethargy,coughing,4 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.8,86,respiratory syncytial virus
dog,chihuahua,9,male,2.0,vomiting,loss of appetite,diarrhea,lethargy,2 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1,128,gastroenteritis
cat,manx,4,female,3.3,eye discharge,nasal discharge,sneezing,coughing,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.5,138,feline herpesvirus
horse,tennessee walker,16,female,530.0,weight loss,loss of appetite,lethargy,fever,8 days,No,No,Yes,Yes,No,Yes,Yes,No,No,39.6,71,equine cushing's disease
cow,jersey,6,male,620.0,weight loss,reduced milk production,lethargy,appetite loss,7 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.4,87,tuberculosis
dog,dalmatian,8,female,20.0,vomiting,diarrhea,weight loss,dehydration,4 days,Yes,No,Yes,No,Yes,No,No,Yes,No,39.0,120,pancreatitis
cat,bombay,6,male,4.0,lethargy,vomiting,loss of appetite,weight loss,5 days,Yes,No,No,Yes,Yes,No,Yes,No,No,38.9,149,hyperthyroidism
horse,welsh pony,10,male,450.0,lameness,swollen joints,reduced appetite,weight loss,9 days,No,No,Yes,Yes,Yes,No,No,Yes,No,39.8,76,equine arthritis
cow,brown swiss,3,female,580.0,diarrhea,dehydration,loss of appetite,lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.3,85,coccidiosis
dog,akita,6,male,35.0,lethargy,loss of appetite,fever,vomiting,6 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.5,130,canine hepatitis
cat,british shorthair,7,female,4.4,nasal discharge,eye discharge,sneezing,lethargy,4 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.6,142,upper respiratory infection
horse,morgan,11,female,530.0,weight loss,swollen joints,reduced appetite,fever,8 days,No,Yes,Yes,No,Yes,No,No,Yes,No,39.7,74,equine encephalitis
cow,guernsey,5,male,610.0,nasal discharge,coughing,labored breathing,fever,3 days,Yes,No,Yes,No,No,Yes,No,No,Yes,39.9,82,bovine influenza
dog,boxer,8,female,27.0,vomiting,lethargy,diarrhea,loss of appetite,4 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.2,131,gastroenteritis
cat,abyssinian,4,male,4.5,eye discharge,lethargy,nasal discharge,sneezing,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,38.8,140,feline calicivirus
dog,golden retriever,5,male,32.0,vomiting,diarrhea,loss of appetite,lethargy,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.2,130,gastroenteritis
cat,persian,7,female,4.1,sneezing,nasal discharge,eye discharge,lethargy,4 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.9,142,feline upper respiratory infection
horse,thoroughbred,15,male,480.0,lameness,swollen joints,appetite loss,fever,7 days,No,Yes,No,No,Yes,Yes,No,Yes,No,39.7,75,equine arthritis
cow,limousin,6,female,620.0,weight loss,reduced milk production,appetite loss,lethargy,10 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,39.4,85,johne's disease
rabbit,holland lop,3,female,1.8,sneezing,nasal discharge,loss of appetite,lethargy,5 days,No,Yes,No,Yes,Yes,No,No,Yes,No,38.6,160,snuffles
sheep,merino,4,male,75.0,coughing,labored breathing,nasal discharge,fever,4 days,Yes,No,No,Yes,No,Yes,Yes,No,No,40.0,78,pneumonia
goat,boer,5,female,68.0,diarrhea,dehydration,lethargy,loss of appetite,6 days,Yes,No,Yes,No,No,Yes,No,No,Yes,39.3,82,coccidiosis
pig,yorkshire,2,male,110.0,vomiting,diarrhea,loss of appetite,fever,3 days,No,Yes,No,Yes,Yes,No,No,Yes,Yes,39.5,85,porcine epidemic diarrhea
dog,dachshund,4,female,9.0,lethargy,vomiting,loss of appetite,dehydration,3 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.0,132,parvovirus
cat,siamese,6,male,4.2,coughing,sneezing,eye discharge,lethargy,4 days,Yes,No,No,Yes,No,Yes,Yes,No,Yes,38.7,140,feline calicivirus
horse,clydesdale,12,female,600.0,fever,swollen joints,appetite loss,lameness,6 days,No,No,Yes,No,Yes,Yes,No,Yes,No,39.6,77,equine laminitis
cow,angus,8,male,580.0,coughing,labored breathing,lethargy,nasal discharge,5 days,Yes,No,No,Yes,No,Yes,No,No,Yes,40.0,83,bovine respiratory disease
rabbit,mini rex,2,male,1.6,diarrhea,loss of appetite,dehydration,weight loss,3 days,No,Yes,No,Yes,No,Yes,No,No,Yes,38.5,155,enteritis
sheep,suffolk,3,female,80.0,weight loss,lethargy,loss of appetite,reduced wool growth,8 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.8,77,scrapie
goat,alpine,4,male,72.0,fever,lethargy,weight loss,loss of appetite,7 days,No,Yes,No,No,Yes,Yes,No,No,Yes,39.7,83,caprine arthritis encephalitis
pig,duroc,3,female,115.0,sneezing,coughing,nasal discharge,labored breathing,5 days,Yes,No,Yes,No,No,Yes,Yes,No,No,40.0,80,swine influenza
dog,corgi,5,male,11.0,vomiting,diarrhea,lethargy,weight loss,3 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2,134,pancreatitis
cat,burmese,8,female,4.5,eye discharge,nasal discharge,sneezing,lethargy,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.6,139,feline viral rhinotracheitis
horse,paint,14,male,500.0,lameness,weight loss,reduced appetite,swollen joints,10 days,No,Yes,No,Yes,Yes,No,No,Yes,No,39.5,76,equine osteoarthritis
cow,hereford,7,female,590.0,diarrhea,dehydration,lethargy,appetite loss,6 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.3,84,bovine johne's disease
rabbit,flemish giant,5,female,6.8,lethargy,appetite loss,weight loss,diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.0,150,gastrointestinal stasis
sheep,dorper,6,male,65.0,coughing,labored breathing,nasal discharge,appetite loss,4 days,No,No,Yes,Yes,No,Yes,Yes,No,Yes,39.9,80,pasteurellosis
goat,nubian,3,female,70.0,diarrhea,dehydration,lethargy,appetite loss,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,39.4,81,giardiasis
dog,poodle,7,female,15.0,lethargy,vomiting,loss of appetite,diarrhea,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.1,125,canine parvovirus
cat,maine coon,5,male,5.2,nasal discharge,eye discharge,sneezing,lethargy,3 days,Yes,Yes,No,Yes,No,No,No,Yes,No,38.8,140,feline respiratory disease complex
horse,arabian,9,female,460.0,lameness,swollen joints,loss of appetite,reduced mobility,6 days,No,Yes,No,No,Yes,Yes,No,Yes,Yes,39.6,78,equine lyme disease
cow,jersey,6,male,570.0,coughing,nasal discharge,labored breathing,fever,5 days,Yes,No,Yes,No,Yes,No,No,Yes,Yes,39.4,81,bovine tuberculosis
rabbit,english angora,4,female,2.1,sneezing,nasal discharge,weight loss,lethargy,3 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.6,150,rabbit viral hemorrhagic disease
sheep,cheviot,5,male,85.0,weight loss,reduced wool production,lethargy,loss of appetite,7 days,Yes,Yes,No,No,Yes,No,No,No,Yes,39.2,79,foot-and-mouth disease
goat,toggenburg,7,female,65.0,diarrhea,dehydration,lethargy,appetite loss,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.3,80,coccidiosis
pig,berkshire,2,male,115.0,coughing,nasal discharge,lethargy,fever,4 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,39.8,85,actinobacillus pleuropneumonia
dog,shih tzu,8,female,8.0,lethargy,vomiting,diarrhea,loss of appetite,5 days,Yes,No,Yes,Yes,No,No,No,No,Yes,39.0,130,canine hepatitis
cat,scottish fold,4,male,4.3,nasal discharge,eye discharge,sneezing,lethargy,3 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,38.7,143,feline rhinotracheitis
horse,belgian,13,female,650.0,lameness,swollen joints,fever,weight loss,8 days,No,Yes,No,Yes,Yes,No,No,No,Yes,39.5,74,equine infectious anemia
cow,brown swiss,9,male,600.0,labored breathing,nasal discharge,coughing,fever,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,39.6,80,bovine respiratory disease
rabbit,himalayan,3,male,1.9,sneezing,eye discharge,nasal discharge,lethargy,2 days,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,38.4,160,respiratory infection
sheep,romney,6,female,78.0,weight loss,lethargy,loss of appetite,swollen joints,9 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.7,76,scrapie
goat,kiko,3,male,75.0,nasal discharge,fever,weight loss,loss of appetite,6 days,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,39.2,82,caprine respiratory disease
pig,tamworth,4,female,120.0,vomiting,diarrhea,appetite loss,fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.6,84,swine dysentery
dog,beagle,6,male,13.0,coughing,labored breathing,nasal discharge,fever,4 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.4,127,kennel cough
cat,russian blue,5,female,4.7,eye discharge,nasal discharge,sneezing,lethargy,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.6,145,feline respiratory infection
horse,shetland pony,11,male,300.0,lameness,swollen joints,appetite loss,weight loss,7 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.6,80,equine osteoarthritis
cow,holstein,7,female,650.0,coughing,nasal discharge,appetite loss,fever,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.4,79,bovine tuberculosis
rabbit,dutch,2,female,1.4,sneezing,nasal discharge,lethargy,loss of appetite,3 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.8,155,upper respiratory infection
sheep,lincoln,8,male,95.0,lethargy,swollen joints,fever,loss of appetite,6 days,No,Yes,No,Yes,Yes,No,Yes,No,Yes,39.9,75,footrot
goat,lamancha,5,female,72.0,diarrhea,loss of appetite,lethargy,dehydration,7 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2,82,gastrointestinal infection
pig,poland china,3,male,110.0,fever,coughing,nasal discharge,weight loss,6 days,No,Yes,Yes,No,Yes,No,Yes,No,Yes,39.8,87,actinobacillus pleuropneumonia
dog,golden retriever,7,male,30.0,vomiting,diarrhea,loss of appetite,lethargy,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5,118,canine parvovirus
cat,sphynx,4,male,5.2,vomiting,diarrhea,loss of appetite,lethargy,5 days,Yes,Yes,Yes,No,Yes,Yes,No,No,No,39.1,148,feline infectious peritonitis
horse,clydesdale,15,female,700.0,swollen joints,lameness,weight loss,lethargy,8 days,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.5,77,equine metabolic syndrome
cow,simmental,8,male,580.0,appetite loss,weight loss,fever,lethargy,6 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.3,80,bovine johne's disease
rabbit,mini rex,1,female,1.2,nasal discharge,lethargy,loss of appetite,sneezing,2 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.7,165,pasteurellosis
dog,rottweiler,5,female,42.0,lethargy,vomiting,loss of appetite,coughing,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2,120,canine parvovirus
cat,bengal,3,male,5.5,nasal discharge,coughing,sneezing,lethargy,5 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,38.9,140,feline calicivirus
horse,thoroughbred,7,female,480.0,lameness,loss of appetite,swollen legs,fever,6 days,No,Yes,Yes,No,Yes,Yes,No,Yes,No,39.6,75,equine influenza
cow,angus,6,male,550.0,coughing,nasal discharge,fever,weight loss,7 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,39.4,82,bovine respiratory disease
rabbit,himalayan,2,male,1.6,nasal discharge,sneezing,lethargy,appetite loss,3 days,Yes,Yes,No,Yes,No,No,Yes,No,No,38.5,150,rabbit hemorrhagic disease
sheep,texel,4,female,85.0,lameness,swollen joints,loss of appetite,diarrhea,5 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.3,76,blue tongue virus
goat,alpine,5,male,72.0,vomiting,diarrhea,fever,loss of appetite,6 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.0,81,caprine arthritis encephalitis
pig,duroc,3,female,100.0,coughing,nasal discharge,loss of appetite,lethargy,4 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.5,88,swine influenza
dog,doberman pinscher,6,male,40.0,vomiting,lethargy,loss of appetite,coughing,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3,119,canine distemper
cat,siamese,4,female,4.2,nasal discharge,lethargy,loss of appetite,fever,6 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,38.8,145,feline leukemia virus
horse,pinto,9,male,530.0,lameness,coughing,loss of appetite,swollen legs,7 days,No,Yes,No,Yes,Yes,No,No,Yes,No,39.7,77,equine infectious anemia
cow,charolais,5,female,620.0,lethargy,coughing,nasal discharge,fever,4 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,39.6,81,bovine tuberculosis
rabbit,mini lop,1,female,1.2,nasal discharge,loss of appetite,lethargy,sneezing,2 days,Yes,Yes,Yes,Yes,No,No,Yes,No,No,38.7,155,myxomatosis
sheep,suffolk,6,male,90.0,swollen joints,loss of appetite,lethargy,coughing,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.4,78,caseous lymphadenitis
goat,boer,3,female,70.0,fever,vomiting,diarrhea,appetite loss,5 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,39.5,80,caprine pleuropneumonia
